year,rank,quota,institute,course,allottedCategory,candidateCategory,remarks
2024,79,Open Seat Quota,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",MBBS,Open,General,
2024,80,All India,"B.J. MEDICAL COLLEGE, AHMEDABAD,B J Medical College, New Civil Hospital Campus, Asarwa, Ahmedabad 380016, Gujarat, 380016",MBBS,Open,General,
2024,81,Open Seat Quota,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,EWS,EWS,
2024,82,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,Open,General,
2024,83,Open Seat Quota,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,OBC,OBC,
2024,84,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,Open,General,
2024,85,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,Open,General,
2024,86,Open Seat Quota,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,OBC,OBC,
2024,87,Open Seat Quota,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,OBC,OBC,
2024,88,All India,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi VMMC,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,General,
2024,89,Open Seat Quota,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,EWS,EWS,
2024,90,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,Open,General,
2024,91,Open Seat Quota,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,OBC,OBC,
2024,92,Open Seat Quota,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,EWS,EWS,
2024,93,Open Seat Quota,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,SC,SC,
2024,94,All India,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi, Delhi (NCT), 110002",MBBS,Open,General,
2024,95,Open Seat Quota,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,OBC,OBC,
2024,96,Open Seat Quota,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,EWS,EWS,
2024,97,Open Seat Quota,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019 Odisha, 751019",MBBS,Open,General,
2024,98,Open Seat Quota,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,OBC,OBC,
2024,99,Open Seat Quota,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,OBC,OBC,
2024,100,All India,"MADRAS MEDICAL COLLEGE, CHENNAI,MADRAS MEDICAL COLLEGE EVR PERIYAR SALAI,PARK TOWN,CHENNAI,TAMIL NADU., Tamil Nadu, 600003",MBBS,Open,General,
2024,101,Open Seat Quota,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019 Odisha, 751019",MBBS,Open,General,
2024,102,Open Seat Quota,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019 Odisha, 751019",MBBS,Open,General,
2024,103,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,Open,General,
2024,104,Open Seat Quota,"AIIMS, Nagpur,PLOT NO 2 SECTOR 20 MIHAN NAGPUR, Maharashtra, 441108",MBBS,Open,General,
2024,105,Open Seat Quota,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,OBC,OBC,
2024,106,All India,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi VMMC,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,General,
2024,107,All India,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi, Delhi (NCT), 110002",MBBS,Open,General,
2024,108,Delhi University,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi, Delhi (NCT), 110002",MBBS,Open,General,
2024,109,Open Seat Quota,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,OBC,OBC,
2024,110,All India,"Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg New Delhi, Delhi (NCT), 110002",MBBS,Open,General,
2024,111,Open Seat Quota,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",MBBS,Open,General,
2024,112,Open Seat Quota,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,OBC,OBC,
